question	answer	class
Who was the last amateur to win US tennis open 1968	Arthur Ashe	1
Who was the last amateur to win US tennis open 1968	Ruby	0
Who was the last amateur to win US tennis open 1968	Felix the Cat	0
Who was the last amateur to win US tennis open 1968	Pottery	0
Name the first British show to air on US autumn prime time	The Avengers	1
Name the first British show to air on US autumn prime time	Hindi	0
Name the first British show to air on US autumn prime time	Pulsars	0
Name the first British show to air on US autumn prime time	A Record Shop	0
Who were the first pop stars to appear in Madam Tussaud's	The Beatles	1
Who were the first pop stars to appear in Madam Tussaud's	Napoleon	0
Who were the first pop stars to appear in Madam Tussaud's	A mushroom	0
Who were the first pop stars to appear in Madam Tussaud's	Rhodesia	0
What gets its name from the Aztec meaning bitter water	Chocolate - xocatl	1
What gets its name from the Aztec meaning bitter water	Nebuchadnezzars	0
What gets its name from the Aztec meaning bitter water	A moose	0
What gets its name from the Aztec meaning bitter water	Manor Farm	0
Which company launched the first clone of an IBM pc in 1982	Compac	1
Which company launched the first clone of an IBM pc in 1982	Fish	0
Which company launched the first clone of an IBM pc in 1982	Slightly sparkling	0
Which company launched the first clone of an IBM pc in 1982	Bulgaria	0
Which song won first Oscar when the category was intro 1934	The Continental	1
Which song won first Oscar when the category was intro 1934	Hedgehogs	0
Which song won first Oscar when the category was intro 1934	Dixie	0
Which song won first Oscar when the category was intro 1934	Paint Your Wagon	0
In MASH name Radars pet mouse	Daisy	1
In MASH name Radars pet mouse	Advertise Prices	0
In MASH name Radars pet mouse	A cat	0
In MASH name Radars pet mouse	A Shield	0
Distinguished Information Cross is whose highest bravery award	The CIA	1
Distinguished Information Cross is whose highest bravery award	Policeman	0
Distinguished Information Cross is whose highest bravery award	France	0
Distinguished Information Cross is whose highest bravery award	Jules Leotard	0
Wiley E Coyote chases roadrunner what does the E stand for	Ethelbert	1
Wiley E Coyote chases roadrunner what does the E stand for	Assan	0
Wiley E Coyote chases roadrunner what does the E stand for	LP record	0
Wiley E Coyote chases roadrunner what does the E stand for	Bacon Prunes	0
Which religions name means The way of the Gods	Shinto	1
Which religions name means The way of the Gods	Duck Tales	0
Which religions name means The way of the Gods	Charlie Chaplain	0
Which religions name means The way of the Gods	Shelly Winters	0
By Olympic rules what must have 14 feathers	Badminton Bird	1
By Olympic rules what must have 14 feathers	Leon Trotsky	0
By Olympic rules what must have 14 feathers	Emanuel	0
By Olympic rules what must have 14 feathers	Actinium	0
Johannes Ostermeir invented which photographic aid	Flashbulbs	1
Johannes Ostermeir invented which photographic aid	Sabina	0
Johannes Ostermeir invented which photographic aid	Forbidden	0
Johannes Ostermeir invented which photographic aid	Turkeys	0
In Disney's 1973 animated Robin Hood what creature was Robin	A Fox like Marion	1
In Disney's 1973 animated Robin Hood what creature was Robin	Quiz	0
In Disney's 1973 animated Robin Hood what creature was Robin	Music on radio	0
In Disney's 1973 animated Robin Hood what creature was Robin	Tom	0
Saint Louis police department first used it in 1904 - what	Fingerprinting	1
Saint Louis police department first used it in 1904 - what	Egypt	0
Saint Louis police department first used it in 1904 - what	Lousia May Alcott	0
Saint Louis police department first used it in 1904 - what	Alan Ladd Shane	0
Who wrote the novel the Cyborg - Basis of the $6 million man	Martin Caidin	1
Who wrote the novel the Cyborg - Basis of the $6 million man	Twelve Oaks	0
Who wrote the novel the Cyborg - Basis of the $6 million man	France	0
Who wrote the novel the Cyborg - Basis of the $6 million man	Shark	0
What does roulette literally mean	Little Wheel	1
What does roulette literally mean	Polaris	0
What does roulette literally mean	Advertise Prices	0
What does roulette literally mean	Maryland	0
Who was the first baseball player to have his number (4) retired	Lou Gehrig	1
Who was the first baseball player to have his number (4) retired	La Scala Milan	0
Who was the first baseball player to have his number (4) retired	Morris Minor	0
Who was the first baseball player to have his number (4) retired	King Lear	0
Gobo was the male cousin of which Disney character	Bambi	1
Gobo was the male cousin of which Disney character	Jolly Green Giant	0
Gobo was the male cousin of which Disney character	Harry Harrison	0
Gobo was the male cousin of which Disney character	Tofu	0
Ops was the wife of which Roman God	Saturn	1
Ops was the wife of which Roman God	Umbrellas	0
Ops was the wife of which Roman God	Mortie and Ferdie	0
Ops was the wife of which Roman God	Oldham	0
Andrea Hollen was the first woman in US to do what	Graduate West Point	1
Andrea Hollen was the first woman in US to do what	Red Dragon	0
Andrea Hollen was the first woman in US to do what	Ozone	0
Andrea Hollen was the first woman in US to do what	Oyster	0
What was Americas first organised sport	Horse Racing in 1664	1
What was Americas first organised sport	Singapore	0
What was Americas first organised sport	Hot SE Aussie wind	0
What was Americas first organised sport	Kimberly Clark	0
What was John Fitzgerald Kennedy's campaign song in 1960	High Hopes	1
What was John Fitzgerald Kennedy's campaign song in 1960	Jesus Christ	0
What was John Fitzgerald Kennedy's campaign song in 1960	Sherlock Hemlock	0
What was John Fitzgerald Kennedy's campaign song in 1960	Katherine Hepburn	0
Which is the only middle eastern county without a desert	Lebanon	1
Which is the only middle eastern county without a desert	List Processing	0
Which is the only middle eastern county without a desert	Roses	0
Which is the only middle eastern county without a desert	Rattlesnakes	0
Liquid Sunshine was the original slogan of which product	Doctor Peppers	1
Liquid Sunshine was the original slogan of which product	Superbowl Sunday	0
Liquid Sunshine was the original slogan of which product	Viagra	0
Liquid Sunshine was the original slogan of which product	Calf's Head	0
Who nicknamed his gun Lucrettia Borgia cos it killed everything	Buffalo Bill	1
Who nicknamed his gun Lucrettia Borgia cos it killed everything	Bocks Car	0
Who nicknamed his gun Lucrettia Borgia cos it killed everything	Great wall of China	0
Who nicknamed his gun Lucrettia Borgia cos it killed everything	Colour Blind	0
What was the first ABC TV series rated No 1 for full season	Marcus Welby M.D.	1
What was the first ABC TV series rated No 1 for full season	Feet 5 to 10%	0
What was the first ABC TV series rated No 1 for full season	Boopadoop	0
What was the first ABC TV series rated No 1 for full season	Red Square Moscow	0
Name the companion of the cartoon character Secret Squirrel	Morocco Mole	1
Name the companion of the cartoon character Secret Squirrel	Claude Monet	0
Name the companion of the cartoon character Secret Squirrel	Mendlesson	0
Name the companion of the cartoon character Secret Squirrel	Moscow Peking	0
Who was codenamed Napoleon by the secret service	Frank Sinatra	1
Who was codenamed Napoleon by the secret service	Growing Silkworms	0
Who was codenamed Napoleon by the secret service	Tin and Lead	0
Who was codenamed Napoleon by the secret service	Ireland	0
What is sometimes known as Goober Grease	Peanut Butter	1
What is sometimes known as Goober Grease	Marvin Gaye	0
What is sometimes known as Goober Grease	Tallulah Bankhead	0
What is sometimes known as Goober Grease	Ants	0
What was the first creature put on the endangered species list	Peregrine Falcon	1
What was the first creature put on the endangered species list	Gestation days	0
What was the first creature put on the endangered species list	M (Bond films)	0
What was the first creature put on the endangered species list	Joseph Heller	0
Ellen Marrenner became more famous as who	Susan Hayward	1
Ellen Marrenner became more famous as who	Athletes Foot	0
Ellen Marrenner became more famous as who	Have sex together	0
Ellen Marrenner became more famous as who	Archery	0
What was Hitchcock's first film in colour	Rope	1
What was Hitchcock's first film in colour	Fiasco	0
What was Hitchcock's first film in colour	Wales	0
What was Hitchcock's first film in colour	Ursula LeGuin	0
Whose favourite poodle was called Rufus	Winston Churchill	1
Whose favourite poodle was called Rufus	NYPD Blue	0
Whose favourite poodle was called Rufus	Three Tenors	0
Whose favourite poodle was called Rufus	Enjoyable Gathering	0
What scene is included for good luck in most of Spielberg films	A Shooting star	1
What scene is included for good luck in most of Spielberg films	Telephone Directory	0
What scene is included for good luck in most of Spielberg films	Nellie Melba	0
What scene is included for good luck in most of Spielberg films	Hands	0
Beatles were 1st UK group on Ed Sullivan who was second	The Searchers	1
Beatles were 1st UK group on Ed Sullivan who was second	Frozen Food	0
Beatles were 1st UK group on Ed Sullivan who was second	Corpses - cold place	0
Beatles were 1st UK group on Ed Sullivan who was second	A Camel	0
Who was the first golfer to officially earn over $1 million a year	Curtis Strange	1
Who was the first golfer to officially earn over $1 million a year	Nellie Melba	0
Who was the first golfer to officially earn over $1 million a year	Submarines	0
Who was the first golfer to officially earn over $1 million a year	Haiti	0
Mary Surratt what the first woman to do what in US	Be Hanged	1
Mary Surratt what the first woman to do what in US	Asparagus	0
Mary Surratt what the first woman to do what in US	Oaklahoma	0
Mary Surratt what the first woman to do what in US	Chow-Chow	0
Whose normal heartbeat is 242 per minute	Mr Spock in Star Trek	1
Whose normal heartbeat is 242 per minute	Prosthetic eyes	0
Whose normal heartbeat is 242 per minute	Rudyard Kipling	0
Whose normal heartbeat is 242 per minute	Pick me up	0
In 1969 who formed tangerine records	Ray Charles	1
In 1969 who formed tangerine records	NYPD Blue	0
In 1969 who formed tangerine records	Ice Hockey	0
In 1969 who formed tangerine records	Spitting	0
February 21st 1878 the first what was published in New Haven	Telephone Directory	1
February 21st 1878 the first what was published in New Haven	The Body	0
February 21st 1878 the first what was published in New Haven	The Dutch	0
February 21st 1878 the first what was published in New Haven	Love	0
The clusec is the unit measuring the power of what	Vacuum pumps	1
The clusec is the unit measuring the power of what	Germany	0
The clusec is the unit measuring the power of what	A Spinning wheel	0
The clusec is the unit measuring the power of what	Bocks Car	0
Three what appear on the Connecticut state flag	Grape Vines	1
Three what appear on the Connecticut state flag	Designed the Spitfire	0
Three what appear on the Connecticut state flag	Jewish ravioli	0
Three what appear on the Connecticut state flag	Revelations	0
What do the Germans now celebrate on October 3rd	Unity day	1
What do the Germans now celebrate on October 3rd	Gomorrah	0
What do the Germans now celebrate on October 3rd	Yellow	0
What do the Germans now celebrate on October 3rd	Your Hat on 	0
When are you most likely to see a penumbra	During an Eclipse	1
When are you most likely to see a penumbra	A Butterfly	0
When are you most likely to see a penumbra	Tremaloes	0
When are you most likely to see a penumbra	Captain Kidd	0
Storm Warning the only film in which this Actress killed who	Doris Day	1
Storm Warning the only film in which this Actress killed who	Lucifer	0
Storm Warning the only film in which this Actress killed who	London	0
Storm Warning the only film in which this Actress killed who	According to Custom	0
What was Disney's first non animated live action film	Treasure Island	1
What was Disney's first non animated live action film	Leaves	0
What was Disney's first non animated live action film	Unbranded calf	0
What was Disney's first non animated live action film	Fire a Gun	0
Zaire diverted roads to avoid disturbing communities of what	Elves	1
Zaire diverted roads to avoid disturbing communities of what	Dancing Homer	0
Zaire diverted roads to avoid disturbing communities of what	Bela Lugosi	0
Zaire diverted roads to avoid disturbing communities of what	Ants	0
Who is the Greek equivalent of the Roman Jupiter	Zeus - chief God	1
Who is the Greek equivalent of the Roman Jupiter	Peter Sellers	0
Who is the Greek equivalent of the Roman Jupiter	Fur Trader	0
Who is the Greek equivalent of the Roman Jupiter	Achille	0
Who or what was introduced to the USA in 1964	G I Joe	1
Who or what was introduced to the USA in 1964	Sid Vicious	0
Who or what was introduced to the USA in 1964	White Elephant	0
Who or what was introduced to the USA in 1964	Port au Prince Haiti	0
Augusto Pinochet was the ruler of which country	Chile	1
Augusto Pinochet was the ruler of which country	Sweden	0
Augusto Pinochet was the ruler of which country	Hector Berlioz	0
Augusto Pinochet was the ruler of which country	Cork	0
Giovidi is what day in Italian	Thursday	1
Giovidi is what day in Italian	Dice	0
Giovidi is what day in Italian	Letter Z in scrabble	0
Giovidi is what day in Italian	John Travolta	0
Hank Ballard and the Midnights first released what in 1960	The Twist	1
Hank Ballard and the Midnights first released what in 1960	Egypt	0
Hank Ballard and the Midnights first released what in 1960	Blanchette	0
Hank Ballard and the Midnights first released what in 1960	Winnie the Pooh	0
In church terms what are saucers	Domes	1
In church terms what are saucers	Read	0
In church terms what are saucers	Avis rent a car	0
In church terms what are saucers	Yellow	0
Where were Panama hats first made	Peru	1
Where were Panama hats first made	Shin Guards	0
Where were Panama hats first made	Strange Foods	0
Where were Panama hats first made	Daewoo	0
What does a kymograph measure	Oscillations	1
What does a kymograph measure	Saint Petersburg	0
What does a kymograph measure	Eat it  - it’s a potato	0
What does a kymograph measure	Sambuca	0
Name the dark lord in Lord of the Rings	Sauron	1
Name the dark lord in Lord of the Rings	Chiffon	0
Name the dark lord in Lord of the Rings	Henry II	0
Name the dark lord in Lord of the Rings	Colour Television	0
What is the ninth letter of the Greek alphabet	Iota	1
What is the ninth letter of the Greek alphabet	Raymond Chandler	0
What is the ninth letter of the Greek alphabet	Take her Shopping	0
What is the ninth letter of the Greek alphabet	Sports Illustrated	0
Schschpiel is what game in Germany	Chess	1
Schschpiel is what game in Germany	Beer - lots of beer	0
Schschpiel is what game in Germany	Hazel	0
Schschpiel is what game in Germany	Dog	0
The Greek Goddess Ephesus is the Goddess of what	Chastity	1
The Greek Goddess Ephesus is the Goddess of what	Can of Spam	0
The Greek Goddess Ephesus is the Goddess of what	Desi Arnaz Jr	0
The Greek Goddess Ephesus is the Goddess of what	In Top Cat	0
Theophilus Van Kannal invented what in 1888 in Philadelphia	Revolving Door	1
Theophilus Van Kannal invented what in 1888 in Philadelphia	Bananas	0
Theophilus Van Kannal invented what in 1888 in Philadelphia	Iceland	0
Theophilus Van Kannal invented what in 1888 in Philadelphia	Hopalong Cassidy	0
Which actor appeared in drag in two Marlene Dietrich films	John Wayne	1
Which actor appeared in drag in two Marlene Dietrich films	Gunpowder	0
Which actor appeared in drag in two Marlene Dietrich films	Horatio Hornblower	0
Which actor appeared in drag in two Marlene Dietrich films	Heartbreak Hotel	0
Who was the first rock band to perform at NY Opera house	The Who	1
Who was the first rock band to perform at NY Opera house	Bugsy Siegel	0
Who was the first rock band to perform at NY Opera house	Berry	0
Who was the first rock band to perform at NY Opera house	King Darius	0
What was the name of the cab company in Taxi	Sunshine cabs	1
What was the name of the cab company in Taxi	Clothes - it’s a chest	0
What was the name of the cab company in Taxi	Japan	0
What was the name of the cab company in Taxi	Pablo Picasso	0
In the Bible Jael murdered Sisera using what weapon	Tent Peg	1
In the Bible Jael murdered Sisera using what weapon	McDonalds	0
In the Bible Jael murdered Sisera using what weapon	Good Tidings	0
In the Bible Jael murdered Sisera using what weapon	Calcutta	0
Anna Maria Louisa Italiano became famous as who	Ann Bancroft	1
Anna Maria Louisa Italiano became famous as who	Pocahontas	0
Anna Maria Louisa Italiano became famous as who	Masturbation	0
Anna Maria Louisa Italiano became famous as who	Golf Course	0
The Stanley cup was not awarded in 1919 what stopped it	Influenza epidemic	1
The Stanley cup was not awarded in 1919 what stopped it	The French Horn	0
The Stanley cup was not awarded in 1919 what stopped it	Draughts - Checkers	0
The Stanley cup was not awarded in 1919 what stopped it	Keep socks on	0
In the US 20% of all lightning strike deaths occur where	Golf Course	1
In the US 20% of all lightning strike deaths occur where	Rib	0
In the US 20% of all lightning strike deaths occur where	Robben Island	0
In the US 20% of all lightning strike deaths occur where	Falklands Islands	0
Who first appeared in the cartoon strip Thimble Theatre	Olive Oyl	1
Who first appeared in the cartoon strip Thimble Theatre	Magpie	0
Who first appeared in the cartoon strip Thimble Theatre	Alien	0
Who first appeared in the cartoon strip Thimble Theatre	Ottawa Canada	0
In Watership Down rabbit language what is a hrududu	A motor car	1
In Watership Down rabbit language what is a hrududu	Winnie the Pooh	0
In Watership Down rabbit language what is a hrududu	Smooth	0
In Watership Down rabbit language what is a hrududu	Thyroid gland	0
In which county would you find Ars	Norway	1
In which county would you find Ars	Rabbit	0
In which county would you find Ars	Columbine	0
In which county would you find Ars	Brazil	0
What do Beavis and Butt-head have on their T shirts	Metallica - AC/DC	1
What do Beavis and Butt-head have on their T shirts	Sea of Galilee	0
What do Beavis and Butt-head have on their T shirts	Moulted Pubic Hairs	0
What do Beavis and Butt-head have on their T shirts	Vegetarians	0
What is the most popular South American aphrodisiac	Piranha head soup	1
What is the most popular South American aphrodisiac	Hidden artificial leg	0
What is the most popular South American aphrodisiac	Fat Tuesday	0
What is the most popular South American aphrodisiac	Bows	0
In the Phantom of the Opera how does the Phantom sign notes	OG - Opera Ghost	1
In the Phantom of the Opera how does the Phantom sign notes	O J Simpson	0
In the Phantom of the Opera how does the Phantom sign notes	Paddington Bear	0
In the Phantom of the Opera how does the Phantom sign notes	Pikasso guitar	0
What links Alex, Ben, Chrissie and Quint	Eaten by Jaws	1
What links Alex, Ben, Chrissie and Quint	Himalayas	0
What links Alex, Ben, Chrissie and Quint	Carl Perkins	0
What links Alex, Ben, Chrissie and Quint	Animal skins	0
Whose biography is over 8.5 million words long	Winston Churchill	1
Whose biography is over 8.5 million words long	USA	0
Whose biography is over 8.5 million words long	London	0
Whose biography is over 8.5 million words long	A Chefs hat	0
In Judaism there are 3 cardinal sins Idolatry, Adultery and what	Murder	1
In Judaism there are 3 cardinal sins Idolatry, Adultery and what	Laughing gas 	0
In Judaism there are 3 cardinal sins Idolatry, Adultery and what	Rookery	0
In Judaism there are 3 cardinal sins Idolatry, Adultery and what	Madonna	0
Which singer was known as Little Miss Dynamite	Brenda Lee	1
Which singer was known as Little Miss Dynamite	Lichens	0
Which singer was known as Little Miss Dynamite	Blind in one eye	0
Which singer was known as Little Miss Dynamite	Meat stew	0
Henry Harley Arnold was the first US pilot to do what	Carry Mail	1
Henry Harley Arnold was the first US pilot to do what	Elephants	0
Henry Harley Arnold was the first US pilot to do what	Post Impressionists	0
Henry Harley Arnold was the first US pilot to do what	Banzai	0
Name Jennifer Anniston's Godfather	Telly Savalas	1
Name Jennifer Anniston's Godfather	Hawaii 5 0	0
Name Jennifer Anniston's Godfather	Per Head	0
Name Jennifer Anniston's Godfather	Kit or Kitten	0
In which American state is Wankers Corner	Oregon	1
In which American state is Wankers Corner	Sherlock Holmes	0
In which American state is Wankers Corner	Sausages	0
In which American state is Wankers Corner	Sergai Prokofiev	0
In the 1920s what was a Chicago Overcoat	A coffin	1
In the 1920s what was a Chicago Overcoat	Greece	0
In the 1920s what was a Chicago Overcoat	Singapore	0
In the 1920s what was a Chicago Overcoat	Truman Capote	0
English festival word from French literally Farewell to Flesh	Carnival	1
English festival word from French literally Farewell to Flesh	Wrath	0
English festival word from French literally Farewell to Flesh	Alligator	0
English festival word from French literally Farewell to Flesh	Tuberculosis	0
Which actor refused the leading role in Laurence of Arabia	Marlon Brando	1
Which actor refused the leading role in Laurence of Arabia	Dog	0
Which actor refused the leading role in Laurence of Arabia	Cocaine	0
Which actor refused the leading role in Laurence of Arabia	Monkey	0
John Chapman was the real name of someone famous in Ohio?	Johnny Appleseed	1
John Chapman was the real name of someone famous in Ohio?	Bart Simpson	0
John Chapman was the real name of someone famous in Ohio?	Italy	0
John Chapman was the real name of someone famous in Ohio?	Roscoe P Coltrane	0
Australians call someone from where a cockroach	New South Wales	1
Australians call someone from where a cockroach	Librarian	0
Australians call someone from where a cockroach	Australian Aboriginal	0
Australians call someone from where a cockroach	Eat it  - it’s a potato	0
What did Peter Sellers use as an ink blotter in the Pink Panther	A Cat	1
What did Peter Sellers use as an ink blotter in the Pink Panther	Joseph Pulitzer	0
What did Peter Sellers use as an ink blotter in the Pink Panther	Red Ink	0
What did Peter Sellers use as an ink blotter in the Pink Panther	Condom	0
What country would you go to find Pervy Shag	Russia	1
What country would you go to find Pervy Shag	Scaly Winged	0
What country would you go to find Pervy Shag	Death	0
What country would you go to find Pervy Shag	Gideons	0
Pentagon doublespeak what is combat emplacement evacuator	A shovel	1
Pentagon doublespeak what is combat emplacement evacuator	Nero	0
Pentagon doublespeak what is combat emplacement evacuator	Leather	0
Pentagon doublespeak what is combat emplacement evacuator	Watch	0
In which city is the worlds longest skating rink - rideau canal	Ottawa Canada	1
In which city is the worlds longest skating rink - rideau canal	Orange	0
In which city is the worlds longest skating rink - rideau canal	Mild Haemophilia	0
In which city is the worlds longest skating rink - rideau canal	Anubis	0
The black and white episode of Chicago Hope is a tribute to who	Alfred Hitchcock	1
The black and white episode of Chicago Hope is a tribute to who	Vagina	0
The black and white episode of Chicago Hope is a tribute to who	Dynamic Tension	0
The black and white episode of Chicago Hope is a tribute to who	Wisconsin	0
What actor Howard Hughs call pay toilet didn't give shit nothing	Robert Mitchum	1
What actor Howard Hughs call pay toilet didn't give shit nothing	William Holden	0
What actor Howard Hughs call pay toilet didn't give shit nothing	Being Beaten	0
What actor Howard Hughs call pay toilet didn't give shit nothing	Oedipus	0
What bird uses its tongue to spear food	Woodpecker	1
What bird uses its tongue to spear food	Odin	0
What bird uses its tongue to spear food	Frogs and Toads	0
What bird uses its tongue to spear food	Flags	0
Coq Bang can be found in which country	Vietnam	1
Coq Bang can be found in which country	Alexander the Great	0
Coq Bang can be found in which country	Cello	0
Coq Bang can be found in which country	Channel No 5	0
In the Snoopy cartoons what does Lucy offer in her booth	Psychiatric help	1
In the Snoopy cartoons what does Lucy offer in her booth	A Walther PPK	0
In the Snoopy cartoons what does Lucy offer in her booth	Fool or Jester	0
In the Snoopy cartoons what does Lucy offer in her booth	Sugar	0
And what does she charge	Five cents	1
And what does she charge	The first witch	0
And what does she charge	Carrots	0
And what does she charge	Ski slope	0
Who are the largest candy consumers per capita	Danes then Irish	1
Who are the largest candy consumers per capita	Have sex together	0
Who are the largest candy consumers per capita	St Luke	0
Who are the largest candy consumers per capita	Monica	0
In the Vietnam war Comic Books was US military slang for what 	Maps	1
In the Vietnam war Comic Books was US military slang for what 	Isaac Asimov	0
In the Vietnam war Comic Books was US military slang for what 	Florida - Missouri	0
In the Vietnam war Comic Books was US military slang for what 	Baltic sea	0
Which tennis winner also won a Winter Olympics silver medal 	Jaraslav Drobny	1
Which tennis winner also won a Winter Olympics silver medal 	Germany	0
Which tennis winner also won a Winter Olympics silver medal 	Claustrophobia	0
Which tennis winner also won a Winter Olympics silver medal 	Iraq	0
Name the hummingbird in Disney's Pocahontas	Flit	1
Name the hummingbird in Disney's Pocahontas	Bingo	0
Name the hummingbird in Disney's Pocahontas	Rebekah	0
Name the hummingbird in Disney's Pocahontas	Hamilton - Ontario	0
1996 3 highest earning sportsman Michael's Jordan, Tyson and who	Schumacher	1
1996 3 highest earning sportsman Michael's Jordan, Tyson and who	Edward or Edmund	0
1996 3 highest earning sportsman Michael's Jordan, Tyson and who	Big words	0
1996 3 highest earning sportsman Michael's Jordan, Tyson and who	Duck Tales	0
What type of shoes does the Pope usually wear	Moccasin	1
What type of shoes does the Pope usually wear	Benson Dubois	0
What type of shoes does the Pope usually wear	Maori	0
What type of shoes does the Pope usually wear	Human Torch	0
What was the theme song of the film The Grapes of Wrath	Red River Valley	1
What was the theme song of the film The Grapes of Wrath	Having to cook	0
What was the theme song of the film The Grapes of Wrath	Abaline	0
What was the theme song of the film The Grapes of Wrath	Lose weight	0
Name Chewbacca's son - seen Star wars holiday special 1978	Lumpy	1
Name Chewbacca's son - seen Star wars holiday special 1978	Rachel	0
Name Chewbacca's son - seen Star wars holiday special 1978	A Sink	0
Name Chewbacca's son - seen Star wars holiday special 1978	Serpent	0
Nipper is the RCA dog in the US what's he known as in the UK	HMV dog	1
Nipper is the RCA dog in the US what's he known as in the UK	Bugsy Siegel	0
Nipper is the RCA dog in the US what's he known as in the UK	Virginia Slims	0
Nipper is the RCA dog in the US what's he known as in the UK	Brown	0
What is the most populous domesticated creature in the US	Honey Bees	1
What is the most populous domesticated creature in the US	Horseshoe	0
What is the most populous domesticated creature in the US	Paper	0
What is the most populous domesticated creature in the US	Fencing	0
Muckle John was the last official royal one in England - what	Fool or Jester	1
Muckle John was the last official royal one in England - what	Goats Cheese	0
Muckle John was the last official royal one in England - what	Thermometer	0
Muckle John was the last official royal one in England - what	Nickel	0
Shagaganda sounds like molesting a goose - but where is it	Peru	1
Shagaganda sounds like molesting a goose - but where is it	Goats Cheese	0
Shagaganda sounds like molesting a goose - but where is it	Encore	0
Shagaganda sounds like molesting a goose - but where is it	Mussels and Whelks	0
Portland Rosebuds were the first US team to do what	Compete Stanley cup	1
Portland Rosebuds were the first US team to do what	Lock of Hair	0
Portland Rosebuds were the first US team to do what	Peanut Butter	0
Portland Rosebuds were the first US team to do what	Boat	0
Klaus Voormann designed the cover for which Beatles album	Revolver	1
Klaus Voormann designed the cover for which Beatles album	Helen Mencken	0
Klaus Voormann designed the cover for which Beatles album	Liz	0
Klaus Voormann designed the cover for which Beatles album	Germany	0
According to Earth Medicine what's the birth totem for march	The Falcon	1
According to Earth Medicine what's the birth totem for march	Iris	0
According to Earth Medicine what's the birth totem for march	Tightrope walker	0
According to Earth Medicine what's the birth totem for march	Sir Christopher Wren	0
Which country has no national monetary unit of it's own	Andorra	1
Which country has no national monetary unit of it's own	Take her Shopping	0
Which country has no national monetary unit of it's own	Hercule Poirot	0
Which country has no national monetary unit of it's own	The Guillotine	0
Name the first storm 19 June 1978 called after a man	Bud	1
Name the first storm 19 June 1978 called after a man	Maldives	0
Name the first storm 19 June 1978 called after a man	Tornados	0
Name the first storm 19 June 1978 called after a man	Hearst	0
How did Miss Piggy tell the difference between love and lust	By spelling	1
How did Miss Piggy tell the difference between love and lust	Pinocchio	0
How did Miss Piggy tell the difference between love and lust	Luxemburg	0
How did Miss Piggy tell the difference between love and lust	Terra Nova	0
Christopher Proudfoot owns the worlds largest collection of what	Lawnmowers	1
Christopher Proudfoot owns the worlds largest collection of what	Horses foot	0
Christopher Proudfoot owns the worlds largest collection of what	Sword in the Stone	0
Christopher Proudfoot owns the worlds largest collection of what	Bats	0
If you shout Tsuki what sport are you practicing	Kendo	1
If you shout Tsuki what sport are you practicing	Comedy of Errors	0
If you shout Tsuki what sport are you practicing	Equator	0
If you shout Tsuki what sport are you practicing	During an Eclipse	0
In the film Bambi what is Bambi's first word	Bird	1
In the film Bambi what is Bambi's first word	The Woolmark logo	0
In the film Bambi what is Bambi's first word	Glandular fever	0
In the film Bambi what is Bambi's first word	Ether	0
Two possible answers - in which country would you find Shit	Iran or Ethiopia	1
Two possible answers - in which country would you find Shit	Rope	0
Two possible answers - in which country would you find Shit	Wall Clocks	0
Two possible answers - in which country would you find Shit	Jefferson Airplane	0
Australians call someone from where a croweater	South Australia	1
Australians call someone from where a croweater	India	0
Australians call someone from where a croweater	Pac Man Ghosts	0
Australians call someone from where a croweater	Dish washers	0
Old Lyme Connecticut has a museum dedicated to what	Nuts	1
Old Lyme Connecticut has a museum dedicated to what	Violet	0
Old Lyme Connecticut has a museum dedicated to what	Tupperware Party	0
Old Lyme Connecticut has a museum dedicated to what	Five Olympic Rings	0
Which artist is supposed to have used 1000 greens in painting	John Constable	1
Which artist is supposed to have used 1000 greens in painting	Sigmund Freud	0
Which artist is supposed to have used 1000 greens in painting	Kings headband	0
Which artist is supposed to have used 1000 greens in painting	Shouting	0
In the USA domestic violence peaks on what day of the year	Superbowl Sunday	1
In the USA domestic violence peaks on what day of the year	Lenny Bruce	0
In the USA domestic violence peaks on what day of the year	Mardi Gras	0
In the USA domestic violence peaks on what day of the year	Arnold Swartzenager	0
What first happened on January 4th 1885 Davenport Iowa	Appendectomy	1
What first happened on January 4th 1885 Davenport Iowa	Bonsai - styles	0
What first happened on January 4th 1885 Davenport Iowa	If - Rudyard Kipling	0
What first happened on January 4th 1885 Davenport Iowa	Flipper the dolphin	0
Pooh loves honey but which creature loves watercress	Roo	1
Pooh loves honey but which creature loves watercress	Saint Paul	0
Pooh loves honey but which creature loves watercress	Salvation Army	0
Pooh loves honey but which creature loves watercress	Nudity	0
Who has a tattoo saying Starland Vocal Band 	Homer Simpson	1
Who has a tattoo saying Starland Vocal Band 	Beans	0
Who has a tattoo saying Starland Vocal Band 	Tangerine - Orange	0
Who has a tattoo saying Starland Vocal Band 	Mighty Mouse	0
Rim Butte sounds like something sexual - in which US state	Alaska	1
Rim Butte sounds like something sexual - in which US state	Beetles	0
Rim Butte sounds like something sexual - in which US state	Alexander	0
Rim Butte sounds like something sexual - in which US state	A penny whistle	0
December 73 Switzerland has 6.6 million people 81 were what	Unemployed	1
December 73 Switzerland has 6.6 million people 81 were what	Eating with forks	0
December 73 Switzerland has 6.6 million people 81 were what	Boxing	0
December 73 Switzerland has 6.6 million people 81 were what	Buster Crabbe	0
In the US its 911 in the UK 999 what in Australia	000	1
In the US its 911 in the UK 999 what in Australia	Tongue	0
